batch,stock_code,yahoo_ticker,company_name,theme_count,profile_status,quote_type,long_name,sector,industry,website,business_summary,market_cap,currency,profile_error,official_status,official_urls,official_text
11,9211,9211.T,エフ・コード,4,ok,EQUITY,f-code Inc.,Communication Services,Advertising Agencies,https://f-code.co.jp,"f-code Inc. engages in the digital transformation and consulting business in Japan. The company offers digital marketing solutions, such as CODE marketing cloud, f-tra EFO, einclo, hachidori, KaiU, and EF. CUBE. It also offers digital marketing support business, AI and technology support business, and online school and human resource development business. f-code Inc. was incorporated in 2006 and is headquartered in Shinjuku, Japan.",17632311296,JPY,,ok,https://f-code.co.jp | https://f-code.co.jp/service/ | https://f-code.co.jp/service/solution/,"株式会社エフ・コード | デジタルマーケティングとAIテクノロジーで企業DXを総合支援 テクノロジーとDXで企業と生活者を結ぶ セミナー情報 資料ダウンロード お問い合わせ お知らせ サービス サービス一覧 Service マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 事例紹介 M&A IR情報 IR情報 IR IRニュース IRカレンダー 新規投資家向け案内資料 経営情報 IRライブラリー 株主・株式情報 よくあるご質問 電子公告 免責事項 コーポレートガバナンス ディスクロージャーポリシー 会社情報 会社情報 Office エフ・コードについて 企業理念 代表メッセージ 役員紹介 会社概要 採用情報 JP | EN Contact Us 弊社への各種お問合せを受付けています。 通常、2～3営業日以内にご連絡いたします。 ※お問い合わせフォームから当社への営業活動はご遠慮ください。 お問い合わせ Tel 03-6272-8991 セミナー情報 お役立ち資料 お問い合わせ JP | EN TOP トップページ Service エフ・コードのサービス サービス一覧 マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 M&A M&Aについて IR IR情報 IR情報 IRニュース IRカレンダー 新規投資家向け案内資料 経営情報 株主・投資家の皆様へ 財務ハイライト IRライブラリー 決算短信 決算説明資料 有価証券報告書 IR資料 株主・株式情報 株式情報 株主総会 株価情報 よくあるご質問 電子公告 免責事項 コーポレートガバナンス ディスクロージャーポリシー Office 会社情報 会社情報 エフ・コードについて 企業理念 代表メッセージ 役員紹介 会社概要 Join Us 採用情報 Glossary List DX・マーケティング用語集 OFFICIAL SNS セミナー情報 お役立ち資料 JP | EN Tel 03-6272-8991 デジタル時代の 潮流を捉え、 企業の成長を ともに実現する。 マーケティングの知見と技術を 融合させる、変革のパートナー。 Scroll Down Service 私たちのサービス 2つの軸で企業のDX化を支援します Marketing マーケティング 支援 マーケティング データサイエンス プロダクト 顧客体験データに基づき、 最適なマーケティング施策を設計。 複雑化するデジタル接点を網羅し、 企業のマーケティングの成果最大化を支援いたします。 MORE AI・Technology AI・テクノロジー 領域支援 エンジニアリング クリエイティブ 企業のDX化・高度デジタル化に向けて、 AI・テクノロジー領域で、実装、構築、 導入の支援をいたします。 企業課題に応じた、柔軟かつ実効性あるソリューションを AIテクノロジーを活用し提供します。 MORE 支援実績 事業戦略支援やマーケティング支援など企業様の課題に合わせた様々な形態での支援実績があります。 ケーススタディ MORE D2Cブランド 単品購入に偏るD2Cブランドに対し、CVR改善を目的としたUI/UX改善とABテストの設計・運用を支援。ファーストCV後の動線改善により、定期購入への転換率が大幅に向上。 マーケティング支援 ABテスト D2C支援 UI / UX改善 効果測定 消費財メーカー 新商品のプロモーションにおいて、認知獲得から購買導線の最適化までを支援。ブランドごとのターゲット設計・チャネル設計を行い、広告配信や配信後の動線整備を通じて、購買率の向上にも寄与。 マーケティング支援 ターゲット策定 効果測定 市場コミュニケーション定義 広告運用 交通・レジャー系サービス 大手テーマパーク運営企業のECサイトリニューアルを支援。デザイン・開発から、本国インフラとの連携対応までを担い、リニューアル後も安定稼働を実現。 AI・テクノロジー領域支援 EC開発支援 UI / UX改善 グローバル対応 要件定義支援 Contact Us お問い合わせ 企業様の様々な課題に対して、 豊富なノウハウとサービスラインナップで解決に導きます。 Download 資料ダウンロード 社内のDX推進やマーケティング施策に関して検討中の方に向けて、チェック項目やフロー、事例をまとめたお役立ち資料をDLできます。 M&A M&Aについて 既存事業の拡大に加え、M&Aによってサービスやプロダクト、人材、データ等の拡充を図り、グループとしての企業価値向上を進めてまいります。 グループ戦略としてのM&A方針 エフ・コードでは、デジタル領域（マーケティング、AI・テクノロジー等）における非連続な成長を実現すべく、積極的にM&Aを活用しています。当社のM&Aは単なる資本提携ではなく、グループとしての実質的な連携と価値創出を重視しています。 M&Aの狙い 企業価値の向上に向けて、下記ねらいをもって引き続きM&Aを推進 01 連邦制の運営 02 統合の推進 実際の統合施策 （PMIの全体像） 目的 主な取組み 売上拡大 クロスセル、統合営業、販路共有、共同商材開発 経営効率化 共同購買、バックオフィス統合、Gr内代替(費用最適化) カルチャーマッチ 代表会議、Gr内IR、親睦会 等 IR IR情報 最新決算資料 株式・投資家の皆様へ 新規投資家向け案内資料 IRニュース MORE Contact Us 企業様の様々な課題に対して、 豊富なノウハウとサービスラインナップで 解決に導きます データに基づく戦略で成果へ導く OFFICIAL SNS トップ IR情報 お知らせ 資料ダウンロード サービス セミナー情報 M&A DX・マーケティング用語集 JP | EN Back to Top 個人情報保護方針 情報セキュリティポリシー © F-CODE, Inc. All Rights Reserved. Back to Top サービス | 株式会社エフ・コード テクノロジーとDXで企業と生活者を結ぶ セミナー情報 資料ダウンロード お問い合わせ お知らせ サービス サービス一覧 Service マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 事例紹介 M&A IR情報 IR情報 IR IRニュース IRカレンダー 新規投資家向け案内資料 経営情報 IRライブラリー 株主・株式情報 よくあるご質問 電子公告 免責事項 コーポレートガバナンス ディスクロージャーポリシー 会社情報 会社情報 Office エフ・コードについて 企業理念 代表メッセージ 役員紹介 会社概要 採用情報 JP | EN Contact Us 弊社への各種お問合せを受付けています。 通常、2～3営業日以内にご連絡いたします。 ※お問い合わせフォームから当社への営業活動はご遠慮ください。 お問い合わせ Tel 03-6272-8991 セミナー情報 お役立ち資料 お問い合わせ JP | EN TOP トップページ Service エフ・コードのサービス サービス一覧 マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 M&A M&Aについて IR IR情報 IR情報 IRニュース IRカレンダー 新規投資家向け案内資料 経営情報 株主・投資家の皆様へ 財務ハイライト IRライブラリー 決算短信 決算説明資料 有価証券報告書 IR資料 株主・株式情報 株式情報 株主総会 株価情報 よくあるご質問 電子公告 免責事項 コーポレートガバナンス ディスクロージャーポリシー Office 会社情報 会社情報 エフ・コードについて 企業理念 代表メッセージ 役員紹介 会社概要 Join Us 採用情報 Glossary List DX・マーケティング用語集 OFFICIAL SNS セミナー情報 お役立ち資料 JP | EN Tel 03-6272-8991 TOP エフ・コードのサービス Service エフ・コードのサービス ２つの軸で 企業のDX化を支援します エフ・コードは、Marketing領域と、 AI・Technology領域の事業を展開し、 クライアントのデジタル改革を支援します。 マーケティング支援 MORE 顧客体験データに基づき、最適なマーケティング施策を設計。 複雑化するデジタル接点を整理し、成果につながる運用を支援します。 マーケ戦略やプロダクトの軸が曖昧で、成長にブレーキがかかっている ブランディング設計とそれに基づくデジタル施策の連動性が担保できず、施策効果が曖昧 デジタルマーケ施策と営業活動が連動せず、効果測定もできていない AI・テクノロジー 領域支援 MORE 企業のDX化・高度デジタル化に向けて、AI・テクノロジー領域で、実装、構築、導入の支援をいたします。 企業課題に応じた、柔軟かつ実効性あるソリューションをAIテクノロジーを活用し提供します。 技術的な意思決定や開発体制構築が属人化し、事業スピードが上がらない 内製化を進めたいが、どこから着手すべきか分からず外注依存から抜け出せない ツール導入やDXが場当たり的になり、業務改善や売上貢献に直結していない ケーススタディ MORE SaaS リード獲得から商談化への転換に課題を抱えていたSaaS企業に対し、マーケ戦略の再設計から広告・SNS・LP改善までを一貫して支援。ターゲット設計、KPI設計、チャネル整理を経て、各施策を連動させることで獲得効率と商談率の双方を改善。 マーケティング支援 KGI / KPI設計 LP制作・LPO SNSマーケティング 広告運用 消費財メーカー 新商品のプロモーションにおいて、認知獲得から購買導線の最適化までを支援。ブランドごとのターゲット設計・チャネル設計を行い、広告配信や配信後の動線整備を通じて、購買率の向上にも寄与。 マーケティング支援 KGI / KPI設計 LP制作・LPO SNSマーケティング 広告運用 ターゲット策定 効果測定 市場コミュニケーション定義 広告運用 D2Cブランド 単品購入に偏るD2Cブランドに対し、CVR改善を目的としたUI/UX改善とABテストの設計・運用を支援。ファーストCV後の動線改善により、定期購入への転換率が大幅に向上。 マーケティング支援 KGI / KPI設計 LP制作・LPO SNSマーケティング 広告運用 ターゲット策定 効果測定 市場コミュニケーション定義 広告運用 ABテスト D2C支援 UI / UX改善 効果測定 多彩なコンピテンシーを 持つ専門家 各分野で多彩なコンピテンシーを持つ専門家たちが、企業のDX目標を実現へと導きます。 MORE 事業開発 豊福 康友 営業統括 Yasutomo Toyofuku マーケティング 佐野 瑞樹 業務統括 Mizuki Sano マーケティング 丸山 悠輝 hachidori CS責任者 Yuki Maruyama マーケティング 須藤 大智 KaiUCS責任者 Daichi Suto 実行支援 池田 亮介 営業統括本部 セールスユニット MT部 部長 Ryosuke Ikeda 実行支援 後藤 勇太 CS責任者 Yuta Goto 実行支援 寺島 拓人 広告部 マネージャー Takuto Terashima 実行支援 濱田 薫 PM Kaoru Hamada Service サービス一覧 マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 Contact Us 企業様の様々な課題に対して、 豊富なノウハウとサービスラインナップで 解決に導きます データに基づく戦略で成果へ導く OFFICIAL SNS トップ IR情報 お知らせ 資料ダウンロード サービス セミナー情報 M&A DX・マーケティング用語集 JP | EN Back to Top 個人情報保護方針 情報セキュリティポリシー © F-CODE, Inc. All Rights Reserved. Back to Top 業種別に見るDX | 株式会社エフ・コード テクノロジーとDXで企業と生活者を結ぶ セミナー情報 資料ダウンロード お問い合わせ お知らせ サービス サービス一覧 Service マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 事例紹介 M&A IR情報 IR情報 IR IRニュース IRカレンダー 新規投資家向け案内資料 経営情報 IRライブラリー 株主・株式情報 よくあるご質問 電子公告 免責事項 コーポレートガバナンス ディスクロージャーポリシー 会社情報 会社情報 Office エフ・コードについて 企業理念 代表メッセージ 役員紹介 会社概要 採用情報 JP | EN Contact Us 弊社への各種お問合せを受付けています。 通常、2～3営業日以内にご連絡いたします。 ※お問い合わせフォームから当社への営業活動はご遠慮ください。 お問い合わせ Tel 03-6272-8991 セミナー情報 お役立ち資料 お問い合わせ JP | EN TOP トップページ Service エフ・コードのサービス サービス一覧 マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 M&A M&Aについて IR IR情報 IR情報 IRニュース IRカレンダー 新規投資家向け案内資料 経営情報 株主・投資家の皆様へ 財務ハイライト IRライブラリー 決算短信 決算説明資料 有価証券報告書 IR資料 株主・株式情報 株式情報 株主総会 株価情報 よくあるご質問 電子公告 免責事項 コーポレートガバナンス ディスクロージャーポリシー Office 会社情報 会社情報 エフ・コードについて 企業理念 代表メッセージ 役員紹介 会社概要 Join Us 採用情報 Glossary List DX・マーケティング用語集 OFFICIAL SNS セミナー情報 お役立ち資料 JP | EN Tel 03-6272-8991 TOP エフ・コードのサービス 業種別に見るDX＆マーケティング戦略 DX & marketing strategy by industry 業種別に見るDX＆マーケティング戦略 業種別に見るDX推進とマーケティング活動の トレンドと最新情報をご紹介します。 店舗（小売） アクチュアルな顧客データを統合・分析。一人ひとりに最適な販促で来店を促し、LTV最大化を目指す。 医療 Web予約やオンラインでの情報発信で新たな患者接点を創出。満足度向上で良い評判を促し、選ばれる医院へ。 金融（銀行） アプリやWebで顧客接点をデジタル化。データに基づき、最適な金融商品を提案するナーチャリング体制を構築します。 自動車／モビリティ 顧客データを活用し、アフターサービスや新サービスの提案を最適化。継続的な関係性を築きLTV向上へ。 BtoB Webサイトやウェビナーで質の高いリードを獲得。データ分析で有望な見込み客を可視化し、営業効率を最大化。 IT カスタマーサクセスやナーチャリングの仕組みづくりから伴走。アップセル・クロスセルを促進します。 情報・通信 巨大な顧客基盤とデータを活用したマーケティング支援。パーソナライズされた情報提供で、顧客単価を向上。 人材 採用サイトを中心に候補者との接点を強化。データ分析で採用プロセスを改善し、優秀な人材を獲得する採用支援。 通販・EC 顧客の購買・行動データを分析し、メールや広告をパーソナライズ。カゴ落ち対策からリピート促進まで対策。 リユース・リサイクル Web広告やSEOを起点に集客力を最大化。「買取」「販売」それぞれのマーケティング施策を立案。 ポータルサイト ユーザーの行動履歴を基にコンテンツを最適化し、回遊率と滞在時間を向上。利用者から求められるサイト設計を実施。 人材紹介 候補者（ToC）集客から法人（ToB）営業まで、ターゲットの異なるマーケティングを総合支援。 エフ・コードの サービス MORE Marketing マーケティング 支援 MORE マーケティング データサイエンス プロダクト AI・Technology AI・テクノロジー 領域支援 MORE エンジニアリング クリエイティブ Service サービス一覧 マーケティング支援 AI・テクノロジー領域支援 多彩なコンピテンシーを持つ専門家 業種別の事業推進・DX推進 Contact Us 企業様の様々な課題に対して、 豊富なノウハウとサービスラインナップで 解決に導きます データに基づく戦略で成果へ導く OFFICIAL SNS トップ IR情報 お知らせ 資料ダウンロード サービス セミナー情報 M&A DX・マーケティング用語集 JP | EN Back to Top 個人情報保護方針 情報セキュリティポリシー © F-CODE, Inc. All Rights Reserved. Back to Top"
11,9212,9212.T,9212.T,1,ok,EQUITY,"Green Earth Institute Co., Ltd.",Basic Materials,Specialty Chemicals,https://www.gei.co.jp,"Green Earth Institute Co., Ltd. engages in the production and sale of carbon neutral biofuels and green chemicals in Japan and internationally. The company offers jet fuels; bioplastics used for food, feed, and cosmetic additives; and ethanol for cosmetics. Green Earth Institute Co., Ltd. was incorporated in 2011 and is headquartered in Tokyo, Japan.",2998845696,JPY,,ok,https://www.gei.co.jp,"Green Earth Institute Home About Us Technology Business Overview Locations Contact Japanese Message from CEO Mission Our Vision Company Profile Executives Technology Portfolio Development of fermentation production technology Effective use of biomass Exploration of biotechnology Green Earth Institute Co.,Ltd. Green Earth Research Center News Release News Release More News Green Earth Institute Co.,Ltd. Green Earth Institute Co.,Ltd. 6F Q Plaza Shinjuku 3-chome, 3-5-6 Shinjuku, Shinjuku-ku, Tokyo 160-0022, Japan google map By train, bus â«6 minute walk from JR Shinjuku Station East Exit Tokyo Metro Lines, Toei Shinjuku Line ""Shinjuku Sanchome"" Station Directly connected to E3 exit Green Earth Research Center Green Earth Research Center 2-5-9 Kazusa-kamatari, Kisarazu-shi Chiba 292-0818, Japan google map By train, bus ≫From Tokyo Station Take the Highway bus (via Tokyo Bay Aqua line) from Tokyo Station (Yaesu Central Exit) to Kazusa Arc bus stop. (65min.) 10 minute walk from the bus stop. Access to Kazusa Arc Timetable of Nitto Kotsu bus(Japanese) ≫From Kisarazu station Take the public bus (Kazusa Akademia Park line) from Kisarazu station (East exit) to NITE Bio Honbu bus stop. 3 minute walk from the bus stop. (Nitto Kotsu bus,25min.) Timetable of Nitto Kotsu bus(Japanese) By car Central Tokyo ↓ About 50 minutes from the center of Tokyo through Tokyo Bay Aqualine. ↓ 15 minutes from Kisarazu-Kita Interchange of Tateyama highway. About Us Message from CEO Mission Our Vision Company Profile Executives News Release Technology Technology Portfolio Business Overview Development of fermentation production technology Effective use of biomass Exploration of biotechnology Locations Green Earth Institute Co.,Ltd. Green Earth Research Center Contact COPYRIGHTï¼Cï¼2015 GREEN EARTH INSTITUTE CO.,LTD. ALL RIGHTS RESERVED."
11,9214,9214.T,9214.T,2,ok,EQUITY,"Recovery International Co.,Ltd.",Healthcare,Medical Care Facilities,https://www.recovery-group.co.jp,"Recovery International Co.,Ltd. offers home-visit nursing and rehabilitation in-home nursing care services in Japan. It provides home-visit nursing care for people with illness or disability patients; prevents deterioration of health conditions, recovery, and prevention; and physical, occupational therapists, and speech language hearing pathologists services to maintain and restore mental and physical functions. Recovery International Co.,Ltd. was incorporated in 2013 and is headquartered in Shinjuku, Japan.",1652798976,JPY,,ok,https://www.recovery-group.co.jp | https://www.recovery-group.co.jp/company/company_info/ | https://www.recovery-group.co.jp/works/,"訪問看護ステーション：東京都新宿区：訪問看護・リハビリ・自費マッサージ | リカバリーインターナショナル株式会社 トップページ 会社情報 会社案内 会社概要 拠点一覧 サービス・事業 事業内容 訪問看護 リハビリテーション IR情報 経営情報 業績・財務情報 IRライブラリ 株式情報 その他IR情報 電子公告 インフォメーション 採用情報 お問い合わせ 採用サイト 訪問看護ステーション リカバリーは 利用者様にとってもう一人の あたたかい家族のような存在を目指します 訪問看護ステーション リカバリーは 利用者様にとってもう一人の あたたかい家族のような存在を 目指します 利用者様・看護師・セラピストの“活き活き”を 全力で応援する訪問看護ステーションです。 利用者様・看護師・セラピストの“活き活き”を 全力で応援する訪問看護ステーションです。 リカバリーは訪問看護事業を展開しています。 積極的な拠点展開で日本の在宅医療の底上げに貢献し、利用者様と社員第一の在宅医療を目指します。 RECRUIT 採用情報 利用者様と、家族と、がむしゃらに向き合ってみませんか？ 看護師、セラピストになりたての時に感じた「患者さんに寄り添いたい」という気持ち。 リカバリーはその気持ちを尊重する仲間が集まっています。 訪問看護の世界に飛び込むのに経験年数は関係ありません。 利用者様の住み慣れたご自宅での生活を、一緒に支えていきませんか？ 採用情報を見る 代表挨拶 Message 社長のご挨拶 拠点一覧 Locations 全国の拠点一覧です INFORMATION 2026.09.01 お知らせ 訪問看護ステーションリカバリー 曳舟事務所 オープンのお知らせ 2026.08.01 お知らせ 訪問看護ステーションリカバリー 国分寺事務所 オープンのお知らせ 2026.07.06 お知らせ 現役訪問看護師207名に聞いた「夏場の熱中症対策に関する実態調査」を公開しました 2026.07.01 お知らせ 訪問看護ステーションリカバリー 東村山事務所 名称変更のお知らせ 2026.05.20 お知らせ 【重要】2026年6月からの診療報酬改定に伴うご利用料金変更のお知らせ 一覧を見る お気軽にお問い合わせください ご利用や求人に関してのご不明な点や、看護についてのご要望がございましたらお気軽にご相談ください。 受付時間（月〜金曜日）9:00~18:00 訪問看護・リハビリ リカバリーインターナショナル株式会社 〒160-0023 東京都新宿区西新宿 6-16-12 第一丸善ビル6F Copyright © Recovery International Co.,Ltd. All rights reserved. トップ 会社情報 会社概要 拠点一覧 サービス・事業 訪問看護 リハビリテーション IR情報 経営情報 業務・財政情報 IRライブラリ 株式情報 その他IR情報 電子公告 インフォーメーション 採用情報 メディア掲載 お問い合わせ プライバシーポリシー ナーステート サイトマップ ︎ ▶ サイトマップ ▶ プライバシーポリシー 会社概要 | 訪問看護ステーション：東京都新宿区：訪問看護・リハビリ | リカバリーインターナショナル株式会社 トップページ 会社情報 会社案内 会社概要 拠点一覧 サービス・事業 事業内容 訪問看護 リハビリテーション IR情報 経営情報 業績・財務情報 IRライブラリ 株式情報 その他IR情報 電子公告 インフォメーション 採用情報 お問い合わせ 採用サイト 会社概要 トップページ 会社情報 会社概要 Category Menu 会社案内 会社概要 拠点一覧 会社概要 商号 Recovery International 株式会社（英文名：Recovery International Co.,Ltd.) 資本金 203,544千円 (2024年12月31日現在） 代表取締役社長 柴田 旬也（公認会計士） 役員 取締役 大河原 峻（看護師） 取締役 若田 真（理学療法士） 社外取締役 沼田 功 社外取締役 橋本 祐造 常勤監査役 伊藤 敬子 (公認会計士) 社外監査役 宮崎 雅俊（公認会計士） 社外監査役 伊藤 広樹（弁護士） 役員紹介はこちら>> 顧問 税理士 稲田公認会計士・税理士事務所 社労士 社会保険労務士法人みらいコンサルティング 弁護士 岩井法律事務所 所在地 〒160-0023 東京都新宿区西新宿 6-16-12 第一丸善ビル6F TEL・FAX TEL：03-5990-5882 FAX：03-5990-5883 取引銀行 りそな銀行 静岡銀行 三井住友銀行 みずほ銀行 × 役員紹介 役職 氏名 資格等 略歴 代表取締役 柴田 旬也 公認会計士 2007年12月 あずさ監査法人(現 有限責任 あずさ監査法人) 入所 2012年2月 公認会計士登録 2016年9月 当社 入社 経営管理部部長 2018年3月 当社 取締役 2023年3月 当社 取締役 経営管理部管掌 2024年3月 当社 代表取締役社長(現任) 2024年12月 RePath株式会社 代表取締役（現任） 取締役 大河原 峻 看護師 2005年4月 組合立榛原総合病院 (現 徳洲会榛原総合病院) 入職 2009年6月 友愛会豊見城中央病院 入職 2011年11月 社会保険横浜中央病院 (現JCHO横浜中央病院) 入職 2013年11月 当社設立 代表取締役社長 2024年3月 当社 取締役 業務部部長(現任) 取締役 若田 真 理学療法士 2009年4月 医療法人鉄蕉会亀田総合病院 入職 2016年4月 当社 入社 訪問看護ステーション リカバリー配属 2020年4月 当社 経営管理部企画情報ユニット配属 ユニットリーダー 2020年10月 当社 経営管理部副部長 兼 企画情報ユニットリーダー 2023年1月 当社 業務部部長代理 兼 情報システムユニットリーダー 2023年3月 当社 取締役 業務部管掌 兼 情報システムユニットリーダー 2024年1月 当社 取締役 業務部管掌 兼 情報システムユニットマネージャー 2024年3月 当社 取締役 経営企画部部長 兼 情報システムユニットマネージャー 2025年6月 当社 取締役 経営企画部部長 兼 情報システムユニットマネージャー 兼 総務法務ユニットマネージャー（現任） 2025年3月 RePath株式会社 取締役（現任） 社外取締役 沼田 功 1988年4月 大和証券(株)(現 (株)大和証券グループ本社) 入社 2000年7月 ファイブアイズ・ネットワークス(株)設立 代表取締役(現任) 2000年12月 (株)サイバーエージェント 社外監査役 2009年12月 SBL(株) 代表取締役(現任) 2015年6月 当社 社外取締役(現任) 2017年12月 (株)サイバーエージェント 社外取締役(監査等委員) 就任 社外取締役 橋本 祐造 2002年4月 NHK（日本放送協会）入局 2005年11月 GMOインターネット株式会社 入社 2013年3月 株式会社ボルテージ 入社 2014年7月 株式会社SKIYAKI 入社 2015年9月 株式会社ネクストスケープ 入社 2017年8月 ユニファ株式会社 入社 2019年4月 株式会社RECOMO 設立 代表取締役（現任） 2026年3月 当社 社外取締役(現任) 常勤監査役 伊藤 敬子 公認会計士 2006年12月 あずさ監査法人(現 有限責任 あずさ監査法人) 入所 2011年4月 公認会計士登録 2011年7月 SCS Global Consulting(HK)Limited 入社 2014年1月 (株)ジェイアイエヌ(現 (株)ジンズホールディングス) 入社 2020年3月 当社 常勤監査役 (現任) 2023年6月 (株)コネクティ 監査役 (現任) 2025年3月 RePath株式会社 監査役（現任） 2025年3月 FastLabel株式会社 監査役(現任) 社外監査役 宮崎 雅俊 公認会計士 1996年4月 三菱倉庫(株) 入社 2006年12月 あずさ監査法人(現 有限責任 あずさ監査法人) 入所 2010年7月 公認会計士登録 2015年9月 みやざき公認会計士事務所 設立代表(現任) 2016年4月 税理士登録 2017年2月 当社 監査役(現任) 2017年8月 (株)さくらさくプラス 監査役 2019年6月 蔵王産業(株) 監査役(現任) 2025年3月 LED TOKYO㈱監査役(現任) 社外監査役 伊藤 広樹 弁護士 2007年12月 弁護士登録 2007年12月 西村あさひ法律事務所 入所 2013年9月 岩田合同法律事務所 入所 2016年1月 同所 パートナー(現任) 2021年3月 当社 監査役(現任) 2023年6月 前澤給装工業(株) 監査役(現任) 閉じる MAP お気軽にお問い合わせください ご利用や求人に関してのご不明な点や、看護についてのご要望がございましたらお気軽にご相談ください。 受付時間（月〜金曜日）9:00~18:00 訪問看護・リハビリ リカバリーインターナショナル株式会社 〒160-0023 東京都新宿区西新宿 6-16-12 第一丸善ビル6F Copyright © Recovery International Co.,Ltd. All rights reserved. トップ 会社情報 会社概要 拠点一覧 サービス・事業 訪問看護 リハビリテーション IR情報 経営情報 業務・財政情報 IRライブラリ 株式情報 その他IR情報 電子公告 インフォーメーション 採用情報 メディア掲載 お問い合わせ プライバシーポリシー ナーステート サイトマップ ︎ ▶ サイトマップ ▶ プライバシーポリシー サービス・事業 | 訪問看護ステーション：東京都新宿区：訪問看護・リハビリ | リカバリーインターナショナル株式会社 トップページ 会社情報 会社案内 会社概要 拠点一覧 サービス・事業 事業内容 訪問看護 リハビリテーション IR情報 経営情報 業績・財務情報 IRライブラリ 株式情報 その他IR情報 電子公告 インフォメーション 採用情報 お問い合わせ 採用サイト サービス・事業 トップページ サービス・事業 Category Menu 事業内容 訪問看護 リハビリテーション 事業内容 リカバリーは、訪問看護事業を展開しています。 リカバリーが目指す訪問看護・リハビリテーション リカバリーは利用者様の「もう一人のあたたかい家族」のような存在を目指し、 積極的な拠点展開で日本の在宅医療の底上げに貢献し、 利用者様目線の在宅医療を目指します。 24時間365日対応。早朝・夜間の定期訪問も実施。 訪問看護 住み慣れた地域やご家庭で療養生活を送れるよう訪問看護師が訪問し、看護ケアを提供するサービスです 詳細を見る 訪問看護におけるリハビリテーション 理学療法士・作業療法士・言語聴覚士が心身の機能の維持回復を図り、日常生活の自立を支援するために訪問し、リハビリテーションを行ないます 詳細を見る 重要事項の掲載について こちらのリンクよりPDFファイルをご確認ください。 お気軽にお問い合わせください ご利用や求人に関してのご不明な点や、看護についてのご要望がございましたらお気軽にご相談ください。 受付時間（月〜金曜日）9:00~18:00 訪問看護・リハビリ リカバリーインターナショナル株式会社 〒160-0023 東京都新宿区西新宿 6-16-12 第一丸善ビル6F Copyright © Recovery International Co.,Ltd. All rights reserved. トップ 会社情報 会社概要 拠点一覧 サービス・事業 訪問看護 リハビリテーション IR情報 経営情報 業務・財政情報 IRライブラリ 株式情報 その他IR情報 電子公告 インフォーメーション 採用情報 メディア掲載 お問い合わせ プライバシーポリシー ナーステート サイトマップ ︎ ▶ サイトマップ ▶ プライバシーポリシー"
